type,typeName,name,spell,spellAll,code
PFund,私募,国轩,GX,guoxuan,P00134
PFund,私募,泰石1期,TS1Q,taishi,P00135
PFund,私募,普邦恒升聚富,PBHSJF,pubanghengsheng,P00136
PFund,私募,中航武汉激进1号,ZHWHJJ1H,--,P05169
PFund,私募,峥战1期,ZZ1Q,zhengzhantouzi,P05170
PFund,私募,衍航1号,YH1H,--,P05200
PFund,私募,泽泉涨停板1号,ZQZTB1H,zequan,P01167
PFund,私募,瑞鑫1号,RX1H,--,P05234
PFund,私募,汇利优选,HLYX,huili,P00141
PFund,私募,合赢,HY,yingfengziben,P00142
PFund,私募,武当4期,WD4Q,wudangzichan,P00143
PFund,私募,新价值3,XJZ3,xinjiazhi,P00165
PFund,私募,智博方略1号,ZBFL1H,zhibofanglve,P00167
PFund,私募,华润金中和1期,HRJZH1Q,jinzhonghe,P00171
PFund,私募,睿信3期,RX3Q,ruixintouzi,P00006
PFund,私募,云程泰1期,YCT1Q,yunchengtai,P00061
PFund,私募,中国优质1号,ZGYZ1H,pengyuan,P00065
PFund,私募,鑫增长1号,XZZ1H,xinzengchang,P00070
PFund,私募,扬子二号,YZEH,shicheng,P00075
PFund,私募,未尔弗一期,WEFYQ,weierfuxiangxin,P00076
PFund,私募,乾坤一号,QKYH,kunyang,P00078
PFund,私募,金中和西鼎,JZHXD,jinzhonghe,P00079
PFund,私募,中国龙1,ZGL1,yongfeng,P00082
PFund,私募,中国龙价值1,ZGLJZ1,yongfeng,P00084
PFund,私募,中国龙价值2,ZGLJZ2,yongfeng,P00085
PFund,私募,中国龙价值6,ZGLJZ6,yongfeng,P00089
PFund,私募,中国龙价值8,ZGLJZ8,yongfeng,P00091
PFund,私募,中国龙稳健1,ZGLWJ1,yongfeng,P00092
PFund,私募,中国龙增长1,ZGLZZ1,yongfeng,P00095
PFund,私募,中国龙增长2,ZGLZZ2,yongfeng,P00096
PFund,私募,中国龙进取,ZGLJQ,yongfeng,P00099
PFund,私募,中国龙精选1,ZGLJX1,yongfeng,P00100
PFund,私募,亿龙中国亿龙长江,YLZGYLCJ,shanghaiyongjin,P00101
PFund,私募,天马,TM,tianma1,P00104
PFund,私募,武当1,WD1,wudangzichan,P00105
PFund,私募,淡水泉成长,DSQCZ,danshuiquan,P00107
PFund,私募,景林丰收,JLFS,jinglinzichan,P00110
PFund,私募,星石1,XS1,xingshitouzi,P00115
PFund,私募,星石3,XS3,xingshitouzi,P00117
PFund,私募,星石4,XS4,xingshitouzi,P00118
PFund,私募,星石5,XS5,xingshitouzi,P00119
PFund,私募,证大价值,ZDJZ,zhengda,P00123
CPFund,私募,赤子之心自然选择,CZZXZRXZ,chizizhixin,H00002
CPFund,私募,金牛L.H.基金,JNL.H.JJ,mingda,H00003
PFund,私募,汇财日内交易,HCRNJY,huicaitianfuzichan,P01882
PFund,私募,多品种程序化实盘,DPZCXHSP,huicaitianfuzichan,P01883
PFund,私募,量化趋势一号基金,LHQSYHJJ,huicaitianfuzichan,P01884
PFund,私募,财富游戏69号,CFYX69H,--,P01845
PFund,私募,常青藤期货基金,CQTQHJJ,shanghaichangqingteng,P01846
PFund,私募,感恩成长1号基金,GECZ1HJJ,ganenzaixian,P01847
PFund,私募,成长2号基金,CZ2HJJ,ganenzaixian,P01848
PFund,私募,成长3号基金,CZ3HJJ,ganenzaixian,P01849
PFund,私募,成长4号基金,CZ4HJJ,ganenzaixian,P01850
PFund,私募,太平洋超越01号第01期,TPYCY01HD01Q,--,P05699
PFund,私募,聚金星一号新型结构化,JJXYHXXJGH,--,P07092
PFund,私募,TK稳健增值1号,TKWJZZ1H,guilinlifeng,P07244
PFund,私募,北京中信对冲基金一期,BJZXDCJJYQ,zhongchengxintaizichan,P07245
PFund,私募,从容基金,CRJJ,congrong,P07246
PFund,私募,恒鑫安泰债券投资(第4期),HXATZQTZD4QTZZH,--,P03079
PFund,私募,汇鑫81号（母基金）,HX81H,zhongrongjingcheng,P03837
PFund,私募,重阳培养1号基金,CYPY1HJJ,chongyang,S21010
PFund,私募,粤财新价值1,YCXJZ1,xinjiazhi,P00163
PFund,私募,粤财新价值2,YCXJZ2,xinjiazhi,P00164
PFund,私募,华融分级固利26号,HRFJGL26H,huarongzhengquan,J00731
PFund,私募,华融分级固利26号A,HRFJGL26HA,huarongzhengquan,J00732
PFund,私募,华融分级固利26号B,HRFJGL26HB,huarongzhengquan,J00733
PFund,私募,广发金管家私募债2号,GFJGJSMZ2H,guangfazhengquan,J00745
PFund,私募,德汇成长1期,DHCZ1Q,guangdongdehui,P01097
PFund,私募,宁聚满天星对冲基金,NJMTXDCJJ,ningju,S20607
PFund,私募,华银创富基金,HYCFJJ,huayinjingzhi,S20352
PFund,私募,中卓大健康3期,ZZDJK3Q,zhongzhuo,P07009
PFund,私募,嘉承稳健,JCWJ,--,P07010
PFund,私募,睿源1号,RY1H,--,P07011
PFund,私募,瑞滙2A类第65期,HY2ALD65Q,--,P07094
PFund,私募,融资宝A类第88期,RZBALD88Q,--,P07095
PFund,私募,龙赢宏利2期,LYHL2Q,longyingfuze,P00153
PFund,私募,星石7,XS7,xingshitouzi,P00155
PFund,私募,博颐精选2,BYJX2,boyizichan,P00156
PFund,私募,重阳1期,CY1Q,chongyang,P00157
PFund,私募,君享稳融三号优先级,GTJAJXWRSHYXJ,guotaijunanzhengquan,J00926
PFund,私募,朱雀3期,ZQ3Q,zhuque,P00253
PFund,私募,平安朱雀二期,PAZQEQ,zhuque,P00254
PFund,私募,鑫兰瑞二期,XLREQ,zhongruiheyin,P00255
PFund,私募,中睿吉祥管家一期,ZRJXGJYQ,zhongruiheyin,P00256
PFund,私募,中铁中睿合银二期,ZTZRHYEQ,zhongruiheyin,P00257
PFund,私募,锦尚02号第03期,JS02HD03Q,--,P05236
PFund,私募,信宁债券投资,XNZQTZ,--,P05237
PFund,私募,深国投同威1期,SGTTW1Q,tongwei,P00148
PFund,私募,智德持续增长,ZDCXZZ,zhide,P00150
PFund,私募,尚雅7期,SY7Q,shangya,P00209
PFund,私募,武当10期,WD10Q,wudangzichan,P00210
PFund,私募,星石16期,XS16Q,xingshitouzi,P00211
PFund,私募,混沌1号,HD1H,hundundaoran,P00212
PFund,私募,混沌2号,HD2H,hundundaoran,P00213
PFund,私募,重阳2期,CY2Q,chongyang,P00215
PFund,私募,新价值成长一期,XJZCZYQ,xinjiazhi,P00308
PFund,私募,和禄1号,HL1H,lixiang,P00312
PFund,私募,陕国投创赢1号,SGTCY1H,chuangying,P00315
PFund,私募,喜仁量化一号,XRLHYH,xiren,P02667
PFund,私募,远策2期,YC2Q,yuance,P00320
PFund,私募,四相1期,SX1Q,sixiang,P02264
PFund,私募,君享重阳阿尔法对冲一号,JXCYDCARFYH,chongyang,P02313
PFund,私募,套利对冲233053,TLDC233053,--,P05093
PFund,私募,融享05号第14期,RX05HD14Q,--,P05097
PFund,私募,增强75号第07期,ZQ75HD07Q,--,P05132
PFund,私募,嘉诚进取一号,JCJQYH,jiachengzichan,P02669
PFund,私募,睿思1号,RS1H,ruibei,P05433
PFund,私募,汇富168号,HF168H,--,P05434
PFund,私募,融智新锐3期基金,RZXR3QJJ,rongzhitouzi,S20278
PFund,私募,武当5期,WD5Q,wudangzichan,P00183
PFund,私募,武当6期,WD6Q,wudangzichan,P00184
PFund,私募,智德持续增长2期,ZDCXZZ2Q,zhide,P00186
PFund,私募,融智新锐5期基金,RZXR5QJJ,ruifutouzi,S20276
PFund,私募,鑫兰瑞,XLR,zhongruiheyin,P00144
PFund,私募,景泰复利回报四期,JTFLHBSQ,jingtailifeng,P00864
CPFund,私募,赤子之心价值投资,CZZXJZTZ,chizizhixin,H00001
PFund,私募,林园1期,LY1Q,linyuan,P00009
PFund,私募,新同方1期,XTF1Q,xintongfang,P00012
PFund,私募,尚雅1期,SY1Q,shangya,P00017
PFund,私募,开宝,KB,kaibao,P00021
PFund,私募,瑞象丰年,RXFN,ruixiang,P00024
PFund,私募,万利富达,WLFD,wanlifuda,P00029
PFund,私募,塔晶老虎1期,TJLH1Q,tajing,P00037
PFund,私募,瑞博1期,RB1Q,zhongouruibo,P00218
PFund,私募,瑞象Alpha,RXALPHA,ruixiang,P00219
PFund,私募,武当11期,WD11Q,wudangzichan,P00221
PFund,私募,博颐精选3,BYJX3,boyizichan,P00222
PFund,私募,从容稳健1,CRWJ1,congrong,P00223
PFund,私募,从容成长3,CRWJ3,congrong,P00224
PFund,私募,乐晟股票精选,LSGPJX,yuanlesheng,P00225
PFund,私募,新价值4期,XJZ4Q,xinjiazhi,P00226
PFund,私募,海昊1号,HH1H,haihao,P00227
PFund,私募,京福2号,JF2H,jingfu1,P00228
PFund,私募,国投凯益,GTKY,kaishi,P00230
PFund,私募,富民1期,FM1Q,junchuangfumin,P00744
PFund,私募,星石18期,XS18Q,xingshitouzi,P00262
PFund,私募,远策3期,YC3Q,yuance,P00321
PFund,私募,远策4期,YC4Q,yuance,P00322
PFund,私募,金百镕1期,JBR1Q,jinbairong,P00326
PFund,私募,凯石3期A,KS3QA,kaishi,P00327
PFund,私募,朱雀13期,ZQ13Q,zhuque,P00329
PFund,私募,武当14期,WD14Q,wudangzichan,P00330
PFund,私募,和聚1期,HJ1Q,heju,P00259
PFund,私募,道合1,DH1,daohe,P00030
PFund,私募,向日葵1号,XRK1H,shanghaixiangrikuitouzi,P00074
PFund,私募,景林稳健,JLWJ,jinglinzichan,P00109
PFund,私募,吉祥宝01期-第8期,JXB01QD8Q,--,P03591
PFund,私募,增强12号-融创01期-第16期,ZQ12HRC01QD16Q,--,P04308
PFund,私募,KK商品对冲基金,KKSPDCJJ,--,P03232
PFund,私募,秋阳3期,QY3Q,qiuyangyuliang,P05545
PFund,私募,海之源一号,HZYYH,--,P05546
PFund,私募,军红致选1号,JHZX1H,guantongbeiwei,S20662
PFund,私募,冬泉谷1号,DQG1H,shanxidongquangu,P01307
CPFund,私募,福亿大中华绝对回报,FYDZHJDHB,fuyizichan,H00040
PFund,私募,天星1号,TX1H,yitiantouzi,P02688
PFund,私募,美好东银1号,MHDY1H,meihaotouzi,M00167
PFund,私募,美好广发1号,MHGF1H,meihaotouzi,M00168
PFund,私募,美好锦程1号,MHJC1H,meihaotouzi,M00169
PFund,私募,稳益14号(兴拓青骓2号),WY14HXDQZ2H,qingzhui,P02691
PFund,私募,长安青骓1号,CAQZ1H,qingzhui,M00172
PFund,私募,青骓衍生品高频一期,QZYSPGPYQ,qingzhui,P02692
PFund,私募,汇富169号,HF169H,--,P07006
PFund,私募,盈捷九头鸟1期,YJJTN1Q,yingjie,P00296
