advisor_id,company_name,fund_id,fund_short_name,id,inception_date,initial_unit_value,manager_id,manager_name,manager_name_real,nav,price_date,ret_1m,ret_1y,ret_2y,ret_3m,ret_3y,ret_4y,ret_5y,ret_6m,ret_incep,ret_incep_a,ret_ytd
CO0000001Y,泽熙投资,HF000000A9,华润信托-泽熙5期,22,2010-07-30,100.0,PL0000004E,徐翔,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000004E"">徐翔</a>",240.42,2015-08-14,0.04123,2.412904,4.675262,0.582023,5.687248,6.047964,8.953325,1.652764,9.256902,0.580842,1.835141
CO00000A9N,威扬投资,HF00000WZQ,威扬股指,23,2012-05-02,1.0,PL00000701,张任东,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL00000701"">张任东</a>",10.0459,2015-07-17,0.01564,2.345177,3.125965,0.111801,8.64283,,,0.861351,9.0459,1.072133,0.767742
CO000003TQ,骐聚资产,HF00000F55,骐聚环球价值套利,24,2009-02-27,1.0,PL000006AA,王志兵,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000006AA"">王志兵</a>",9.9395,2015-08-07,0.0014,0.156401,0.655618,0.073832,0.982033,1.641447,2.401259,0.109406,8.9395,0.423773,0.169449
CO00000AMC,鼎新资本,HF00000WQI,鼎新量化,25,2010-01-01,1.0,PL00000761,丁华昆,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL00000761"">丁华昆</a>",9.4719,2015-07-31,0.029543,0.16718,0.341287,0.010789,0.381045,1.13639,2.98431,0.137684,8.4719,0.504991,0.131311
CO00000179,鸿凯投资,HF000006QZ,鸿凯激进一号,26,2013-11-22,1.0,PL000002VM,林军,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000002VM"">林军</a>",9.088861,2015-08-17,-0.010741,7.268675,,0.118796,,,,2.425204,8.088861,2.529553,2.766495
,,HF000009HY,宝利2号,27,2013-06-20,1.0,PL000003JJ,杨军朋,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000003JJ"">杨军朋</a>",8.953759,2015-08-17,-0.071174,0.896016,6.787489,-0.651846,,,,-0.562656,7.953759,1.750345,-0.266937
CO000000MU,上海保银投资,HF000001VS,Pinpoint China Fund,28,2005-06-01,100.0,PL00000376,王强,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL00000376"">王强</a>",886.700421,2015-07-31,-0.0667,0.152482,0.235861,-0.093813,0.449547,0.254381,0.604227,0.025162,7.867004,0.241636,0.017474
CO0000001Y,泽熙投资,HF000000RF,山东信托-泽熙2期,29,2010-06-11,1.0,PL0000004E,徐翔,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL0000004E"">徐翔</a>",2.1797,2015-08-14,0.026224,2.065353,4.47009,0.466034,5.079498,4.999111,6.866481,1.353887,7.665716,0.518835,1.511754
CO0000010K,康腾投资,HF00000444,康腾1号,30,2012-06-20,1.0,PL000001GV,邓文杰,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000001GV"">邓文杰</a>",8.519547,2015-08-17,0.006045,0.541431,1.521084,0.071797,5.444438,,,0.332912,7.519547,0.967052,0.574546
CO00000097,东海证券,HF00000FTQ,东海骁龙2号次级,31,2015-02-10,1.0,PL00000657,袁胜钊,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL00000657"">袁胜钊</a>",8.4035,2015-07-31,-0.000749,,,1.027872,,,,,7.4035,164.464372,
CO00000104,涌峰投资,HF000000BQ,云南信托-中国龙资本,32,2003-08-01,1.0,PL000000ET,赵凯,"<a class=""fblue"" target=""_blank"" href=""http://dc.simuwang.com/?mod=manager&manager_id=PL000000ET"">赵凯</a>",5.2971,2015-08-07,0.008971,0.395369,0.341412,-0.187162,0.546328,0.42105,0.362564,-0.073448,7.307238,0.192948,-0.144954
